30	# total positions (geophones + shots - duplicates)
#x 	 y 	 # label:
-43.0	0.0	1
0.0	0.0	2
6.0	0.0	3
12.0	0.0	4
18.0	0.0	5
24.0	0.0	6
30.0	0.0	7
33.0	0.0	8
36.0	0.0	9
42.0	0.0	10
48.0	0.0	11
54.0	0.0	12
60.0	0.0	13
66.0	0.0	14
69.0	0.0	15
72.0	0.0	16
78.0	0.0	17
84.0	0.0	18
90.0	0.0	19
96.0	0.0	20
102.0	0.0	21
105.0	0.0	22
108.0	0.0	23
114.0	0.0	24
120.0	0.0	25
126.0	0.0	26
132.0	0.0	27
135.0	0.0	28
138.0	0.0	29
204.0	0.0	30
164	#total picks
# s 	 g 	 t	 err
15	2	0.08163598741803851	0.001
15	3	0.07868901772106884	0.001
15	4	0.0761630436950948	0.001
15	5	0.07111109564314674	0.001
15	6	0.07069009997215109	0.001
15	7	0.06732213460418571	0.001
15	9	0.06479616057821169	0.001
15	10	0.06016520819725932	0.001
15	11	0.057639234171285275	0.001
15	12	0.0559552514873026	0.001
15	13	0.0530082817903329	0.001
15	14	0.03153750256955368	0.001
15	16	0.03153750256955368	0.001
15	17	0.051324299106350224	0.001
15	18	0.05427126880331992	0.001
15	19	0.058902221184272296	0.001
15	20	0.06058620386825497	0.001
15	21	0.06395416923622035	0.001
15	23	0.06816412594617705	0.001
15	24	0.0702691043011554	0.001
15	25	0.07363706966912079	0.001
15	26	0.07700503503708614	0.001
15	27	0.08037300040505152	0.001
15	29	0.08247797876002988	0.001
2	2	0.030653409090909106	0.001
2	3	0.045388257575757596	0.001
2	4	0.05086120129870131	0.001
2	5	0.05422916666666669	0.001
2	6	0.056755140692640704	0.001
2	7	0.05843912337662341	0.001
2	9	0.06307007575757578	0.001
2	10	0.06475405844155846	0.001
2	11	0.0685430194805195	0.001
2	12	0.07191098484848488	0.001
2	13	0.07612094155844157	0.001
2	14	0.07864691558441561	0.001
2	16	0.08201488095238096	0.001
2	17	0.08243587662337665	0.001
2	18	0.08411985930735932	0.001
2	19	0.08790882034632036	0.001
2	20	0.0887508116883117	0.001
2	21	0.09085579004329006	0.001
2	23	0.09253977272727276	0.001
2	24	0.09674972943722945	0.001
2	25	0.09843371212121214	0.001
2	26	0.10138068181818184	0.001
